,lin,lin,lin,gut,gut,gut,mc,mc,mc
,A,B,C,A,B,C,A,B,C
54,0.012589571417997315,0.013502456096011245,0.0052482740140056385,0.012578019626685763,0.013498845214764488,0.005210442969903006,0.012594666385208814,0.013493894416597754,0.005297264137026999
55,0.005354858679385678,0.01222829203947604,0.0022630917520937255,0.005355121056541233,0.012227851962166181,0.0022494240235819973,0.005356067392614934,0.01222792524267968,0.0022365077805072656
56,0.011727688285966343,0.02139547804544847,0.003655355052006159,0.011716098530632768,0.021394485964712228,0.003593666707491478,0.011740488251195712,0.021396544860514483,0.0037343348365674314
57,0.00573996859534823,0.010944285261790691,0.0035578351986621406,0.00573540308637572,0.010944464497486622,0.0035278394908238794,0.0057120461720281054,0.010937695465627522,0.003407096002677739
58,0.008536740962434754,0.005408968712180796,0.003400931843184256,0.008539894753943874,0.005407318971912757,0.003420833331399893,0.00854245531567476,0.00540726884714734,0.003153912426973517
59,0.011247781770411944,0.013063998053275272,0.003460528218747502,0.011248757335685778,0.013060030046386575,0.0034560093245916026,0.011245322290763329,0.013057037856457863,0.0034993604170243157
60,0.01822243670856497,0.007714273603204095,0.0032815296164558543,0.018229969178639945,0.0077248216246972095,0.0033332819113227664,0.018236828360646856,0.00772767363845186,0.00329517353455164
61,0.01992906193158475,0.012174675680899453,0.004376415917218072,0.019925116389691307,0.01217433434602507,0.004349527243911322,0.019892228304035635,0.012173903972982306,0.0041947186588995305
62,0.012927879091819649,0.005707239757942303,0.0041216371342947065,0.012906467221898608,0.00569059598520686,0.004051115710416243,0.012923097532849892,0.005698651051082339,0.004111493247050397
63,0.013774834713455211,0.0057615473747064105,0.0035078455888816326,0.013772340322789768,0.0057591327605688285,0.003495543279133545,0.013773351053915547,0.005760752354583407,0.0034976068433336567
64,0.004613806418855464,0.006616022869017542,0.0034593071359319597,0.004625087503296817,0.006619354651817915,0.003472013583289656,0.004621400082104945,0.006605850829711992,0.0034714110910807365
65,0.00882155043789787,0.007619572387497864,0.002804025062953035,0.00882188854486972,0.007622534140918559,0.00279346353391135,0.008823812777753976,0.00762242571797218,0.0027957184253625004
66,0.013197906207011173,0.01670249891332826,0.0025322223320215598,0.013197743733105841,0.016702539884849318,0.0025681924733922286,0.013197596835934156,0.01670229682885571,0.002611909463900138
67,0.02180279125558385,0.025286016564591313,0.004211375219640196,0.021798215023184013,0.025288195526230312,0.004192059313705324,0.021800633804804678,0.02529010400931374,0.004191407296970532
68,0.0047566669666129205,0.007677021586258284,0.0028218178202945774,0.004757938381250431,0.007677752123058295,0.0028356438681729442,0.004790507015698803,0.007684315056548257,0.0027550323774898394
69,0.010202893708698285,0.01728491572764986,0.005053121063525039,0.01020231017551475,0.017285830654402104,0.005052390578636268,0.01020769562181736,0.01728763547064668,0.005061212655991264
70,0.011359487641836705,0.00924593691562419,0.00428689432955535,0.011350433229892442,0.009243265410488278,0.004273349320382201,0.011323536321374441,0.009240028988659917,0.0042560033780150355
71,0.015072152042040453,0.00635284589422478,0.004068108590610891,0.01507324247380616,0.0063551016039592855,0.004059669052496352,0.015050711172247268,0.006349610932373631,0.003806922345654799
72,0.015284461887493937,0.006568863640740337,0.0030380828304174693,0.01528724008520574,0.006565169338817561,0.0030545779179452347,0.01529147879631033,0.0065653709595120055,0.003102834677467811
73,0.004287283695494272,0.0042720986919613565,0.003637425824105054,0.004294801508799976,0.004274848783757433,0.0036536791263686694,0.004396224986380784,0.004278791057233452,0.003840224401755244
74,0.005126909673140141,0.005713302022433488,0.0033263792946387175,0.005105609229255626,0.005702635479995743,0.0032770477837158474,0.005155963860768301,0.005715549268640758,0.003390424645697485
75,0.0058643804995663126,0.0036543921130992633,0.0031119302994076707,0.005882463825400892,0.003657416892284483,0.003176765062829033,0.005926800333652058,0.0036710445435669424,0.0034436775431028774
76,0.01755936337391894,0.019494085911171414,0.0039487364974933326,0.017561144397837698,0.019493019808768403,0.003939772470492043,0.017559429724024488,0.01949141902941597,0.003822649944719249
77,0.015852876407204747,0.007867795747801446,0.0037906159805138483,0.015852620152584585,0.007871874245528059,0.0037816502791353005,0.01595840751419892,0.007912264757004243,0.00410081491543519
78,0.0061983265571955454,0.01179335183055083,0.0026767766104611825,0.006198579738423406,0.01179311981263594,0.002668338688506317,0.006197555520658228,0.011791915396573198,0.002666697138186717
79,0.0282099285276276,0.019924244974574668,0.0033636195858203367,0.0282096233106923,0.01992307333769425,0.0033573074403086987,0.028212605298885782,0.01992549075957129,0.003545405125804559
80,0.016900128309108337,0.0067839459117740334,0.0038126768575944396,0.01690565944530797,0.0067881477035824055,0.0038852187756957383,0.01690528416962266,0.006783293092917163,0.0037084476381395695
81,0.016629384739502474,0.009937657685941504,0.002675908993440835,0.016630739795179383,0.009938761961357383,0.0026694708404002114,0.016631956765498775,0.009938768440493592,0.002689912447832333
82,0.012985563307573493,0.018950525027717047,0.003683711945062714,0.012995974236974966,0.01895431089498452,0.0037230039588845324,0.01297361313533025,0.018946417377436728,0.0037230834427709
83,0.009685706528209855,0.015708245081071784,0.0034568668583233927,0.009697645371712296,0.015713075966195117,0.00348730690522044,0.009693012056921583,0.015711243002888568,0.0033897958325672757
84,0.020502156607497424,0.030295437119118106,0.006575306678925173,0.020504483289456338,0.030296029208468155,0.006571804642495626,0.020490282729616678,0.03029475982607804,0.0064788574360485586
85,0.01085175651748517,0.006856871031373409,0.0032879846563443104,0.010854002819382697,0.006854706109266898,0.00329194391850018,0.010893594849468394,0.006869468631719842,0.0034769059926572326
86,0.0031681722155911126,0.003929146339676704,0.004612827244263603,0.003207134795293899,0.003919662426028933,0.004693808610373696,0.003204829518654996,0.003918087505757082,0.004682842037051
87,0.005310152690749249,0.0076342886500185055,0.0034093674955539073,0.005307786881063088,0.0076321080985327075,0.0034039863193451926,0.005380154418654472,0.007649222957844551,0.0036087202840150265
88,0.012129771326657109,0.009066121084962166,0.0021572527772009895,0.01212733851562998,0.009064012945363424,0.002145837715311626,0.012106631801544573,0.009059259764771175,0.0021946689561121446
89,0.005230819062731134,0.011237562416835217,0.0030705117793061207,0.005227744803716303,0.011233077751747388,0.0030725010079523454,0.005243665760544761,0.011232117226101488,0.0030657543587404358
90,0.006902612330795744,0.006003534629721903,0.003123659069519852,0.006893724418509222,0.006014137854735935,0.003106866126855254,0.006868885445984945,0.006009057255497183,0.0030582839440697136
91,0.004450659820885961,0.006014236038635992,0.0035397283906765994,0.004433683520632155,0.006001666159110606,0.0035056344103918872,0.004427709811394147,0.005975734303805417,0.003450342469956698
92,0.00908632044708786,0.015922715235630963,0.0038709205987452135,0.009097754784484954,0.015921037795218827,0.003922223535908667,0.009073465621664271,0.01592464505671407,0.0037466797794619084
93,0.019296093538991164,0.010004385533959855,0.004213975817026821,0.019290351996053973,0.010002939317113711,0.004167230295044953,0.01927816498644659,0.00999919752647726,0.004092739172797046
